alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.15,0.2,10000,0.2847,0,0.3999,0,0.2596,0,0,0.0558,100,false
0.15,0.2,50000,0.3205,0,0.336,0,0.2877,0,0,0.0558,100,false
0.15,0.2,100000,0.2987,0,0.3716,0,0.2739,0,0,0.0558,100,false
0.15,0.25,10000,0.2552,0,0.4651,0,0.2299,0,0,0.0498,100,false
0.15,0.25,50000,0.2136,0,0.4559,0,0.2807,0,0,0.0498,100,false
0.15,0.25,100000,0.2287,0,0.4118,0,0.3097,0,0,0.0498,100,false
0.15,0.3,10000,0,0.1205,0,0,0.828,0,0,0.0515,100,false
0.15,0.3,50000,0,0.1205,0,0,0.828,0,0,0.0515,100,true
0.15,0.3,100000,0,0.1205,0,0,0.828,0,0,0.0515,100,true
0.15,0.35,10000,0,0.2413,0,0,0.6984,0,0,0.0603,100,false
0.15,0.35,50000,0,0.2413,0,0,0.6984,0,0,0.0603,100,true
0.15,0.35,100000,0,0.2413,0,0,0.6984,0,0,0.0603,100,true
0.15,0.4,10000,0.1579,0,0.5469,0,0.2343,0,0,0.0609,100,false
0.15,0.4,50000,0.1805,0,0.584,0,0.1746,0,0,0.0609,100,false
0.15,0.4,100000,0.1838,0,0.5757,0,0.1796,0,0,0.0609,100,false
0.15,0.45,10000,0.3996,0.0369,0.1562,0.0956,0.2526,0,0,0.0591,100,false
0.15,0.45,50000,0.2304,0,0.5453,0,0.1652,0,0,0.0591,100,false
0.15,0.45,100000,0.1727,0,0.5681,0,0.2001,0,0,0.0591,100,false
0.15,0.5,10000,0.2979,0.0271,0.2435,0.164,0.2091,0,0,0.0584,100,false
0.15,0.5,50000,0,0.2242,0,0,0.7174,0,0,0.0584,100,true
0.15,0.5,100000,0,0.2242,0,0,0.7174,0,0,0.0584,100,true
0.15,0.55,10000,0.4407,0.0554,0.1672,0.078,0.1999,0,0,0.0588,100,false
0.15,0.55,50000,0.3903,0.0968,0.1809,0.0663,0.2069,0,0,0.0588,100,false
0.15,0.55,100000,0.3899,0.035,0.132,0.1901,0.1942,0,0,0.0588,100,false
0.15,0.6,10000,0.3472,0.0515,0.3209,0.1132,0.1053,0,0,0.0619,100,false
0.15,0.6,50000,0.3145,0.0457,0.1264,0.1776,0.2739,0,0,0.0619,100,false
0.15,0.6,100000,0.2045,0.1737,0.2332,0.1033,0.2234,0,0,0.0619,100,false
0.15,0.65,10000,0.214,0.1361,0.3102,0.1604,0.1186,0,0,0.0607,100,false
0.15,0.65,50000,0.3764,0.0732,0.1872,0.1252,0.1773,0,0,0.0607,100,false
0.15,0.65,100000,0.2621,0.0898,0.2123,0.1425,0.2326,0,0,0.0607,100,false
0.15,0.7,10000,0.2052,0.1075,0.13,0.1087,0.3845,0,0,0.0641,100,false
0.15,0.7,50000,0.2981,0.1244,0.2321,0.1072,0.1741,0,0,0.0641,100,false
0.15,0.7,100000,0.3719,0.1022,0.2137,0.0922,0.1559,0,0,0.0641,100,false
0.15,0.75,10000,0.2559,0.1206,0.2227,0.1179,0.2193,0,0,0.0636,100,false
0.15,0.75,50000,0.3528,0.0702,0.1574,0.1636,0.1924,0,0,0.0636,100,false
0.15,0.75,100000,0.3581,0.0733,0.1775,0.1258,0.2017,0,0,0.0636,100,false
0.15,0.8,10000,0.1575,0.1374,0.2976,0.1701,0.174,0,0,0.0634,100,false
0.15,0.8,50000,0.1861,0.1219,0.1854,0.2449,0.1983,0,0,0.0634,100,false
