mcs,s1,s2,s3,s4,s5
28667,24.28,16.36,15.96,18.775,17.715
28668,24.0825,16.4975,15.94,18.64,17.7225
28669,23.97,16.52,15.985,18.6425,17.76
28670,24.005,16.4875,16.0175,18.5225,17.7475
28671,23.8025,16.565,16.13,18.4575,17.82
28672,23.56,16.64,16.205,18.4875,17.945
28673,23.3425,16.725,16.2525,18.4525,17.975
28674,23.265,16.875,16.335,18.4525,18.05
28675,23.065,16.7925,16.345,18.4125,18.1875
28676,22.9275,16.86,16.4125,18.4075,18.28
28677,22.815,16.8575,16.4975,18.435,18.36
28678,22.7,16.8975,16.3575,18.3725,18.6
28679,22.6225,17.0125,16.3275,18.315,18.735
28680,22.435,17.03,16.3425,18.3825,18.74
28681,22.34,17.1625,16.45,18.325,18.88
28682,22.0375,17.16,16.4,18.22,18.9525
28683,21.86,17.2775,16.49,18.3,19.1475
28684,21.685,17.2925,16.4175,18.255,19.3075
28685,21.5675,17.325,16.4025,18.255,19.505
28686,21.365,17.3325,16.4775,18.21,19.595
28687,21.1,17.4775,16.47,18.1275,19.7175
28688,20.9075,17.4925,16.385,18.11,20.01
28689,20.78,17.495,16.31,18.0775,20.0925
28690,20.6675,17.5075,16.2925,18.0925,20.25
28691,20.4675,17.635,16.32,18.0375,20.3325
28692,20.3,17.6225,16.4175,18.065,20.5025
28693,20.1025,17.7275,16.37,18.0575,20.725
28694,19.9025,17.7225,16.305,18.1375,20.9525
28695,19.8225,17.6775,16.2175,18.1075,21.02
