mcs,s1,s2,s3,s4,s5
431,3.8725,28.55,34.315,25.2225,1.005
432,3.8575,28.6175,34.2925,25.11,1.02
433,3.8325,28.6875,34.3075,24.975,1.0375
434,3.8225,28.9075,34.27,24.8125,1.045
435,3.7975,29.2225,34.1625,24.805,1.0275
436,3.75,29.35,34.0375,24.6325,1.01
437,3.7275,29.4975,34.145,24.725,1.0125
438,3.76,29.59,33.9025,24.6175,1.03
439,3.725,29.695,33.905,24.5375,1.0475
440,3.715,29.8475,33.775,24.425,1.0975
441,3.68,29.97,33.7825,24.2025,1.09
442,3.6575,30.205,33.59,24.1625,1.0875
443,3.6425,30.46,33.5875,23.91,1.1375
444,3.59,30.7075,33.3625,23.92,1.145
445,3.5625,30.8775,33.395,23.8675,1.1375
446,3.56,31.08,33.245,23.7675,1.1675
447,3.545,31.3775,33.18,23.5675,1.1375
448,3.495,31.55,33.0125,23.5175,1.18
449,3.54,31.81,32.9375,23.4075,1.195
450,3.5425,31.9925,32.7875,23.41,1.155
451,3.565,32.3175,32.63,23.4275,1.175
452,3.5075,32.535,32.445,23.265,1.1675
453,3.475,32.72,32.4275,23.135,1.1725
454,3.4425,32.9,32.345,23.0725,1.185
455,3.46,33.025,32.1775,23.0275,1.225
456,3.4425,33.1475,31.9525,22.975,1.205
457,3.4175,33.4,31.9275,22.96,1.215
458,3.455,33.595,31.865,22.83,1.2075
459,3.3925,33.6625,31.7225,22.84,1.2
460,3.4125,33.815,31.6225,22.8625,1.1725
461,3.37,34.0375,31.6,22.76,1.1725
462,3.3675,34.1825,31.4375,22.7075,1.1775
463,3.4125,34.19,31.47,22.645,1.2
464,3.3875,34.285,31.3825,22.63,1.1675
465,3.3725,34.4625,31.275,22.5725,1.19
466,3.3225,34.6875,31.225,22.57,1.1675
467,3.3575,34.7675,30.9225,22.635,1.1725
468,3.365,34.91,30.7075,22.6475,1.15
469,3.3825,34.95,30.5725,22.6375,1.1225
470,3.3775,35.215,30.385,22.7475,1.1175
471,3.3575,35.295,30.3675,22.7375,1.1375
472,3.4,35.395,30.2025,22.7725,1.1375
473,3.41,35.42,30.155,22.83,1.1425
474,3.3975,35.4975,30.055,22.915,1.1075
475,3.42,35.4175,29.91,22.9825,1.09
476,3.405,35.4425,29.9925,23.06,1.0975
477,3.38,35.515,29.935,23.0275,1.085
478,3.3675,35.5025,29.8225,23.1675,1.0525
479,3.36,35.55,29.6575,23.3475,1.0325
480,3.2975,35.6675,29.7125,23.3875,1.0175
481,3.265,35.6,29.6425,23.3675,1.0025
482,3.2475,35.6525,29.7525,23.535,0.9875
483,3.2525,35.5775,29.67,23.59,0.96
484,3.2875,35.5625,29.5575,23.6275,0.965
485,3.29,35.54,29.4825,23.705,0.975
486,3.33,35.3775,29.59,23.8175,0.94
487,3.315,35.2225,29.58,24.0625,0.94
488,3.335,35.22,29.565,24.1875,0.9575
489,3.3125,35.085,29.4325,24.2725,0.9525
490,3.315,34.9975,29.33,24.2975,0.9425
491,3.3975,35.14,29.11,24.385,0.95
492,3.4225,35.0275,29.3325,24.4425,0.925
493,3.47,34.9275,29.3125,24.5825,0.905
494,3.485,34.8425,29.21,24.7025,0.885
495,3.5,34.7325,29.02,24.855,0.8925
496,3.48,34.635,29.0175,25.015,0.89
497,3.5025,34.5275,28.85,25.3475,0.8875
498,3.5525,34.4525,28.7075,25.4325,0.915
499,3.575,34.285,28.6075,25.5725,0.92
500,3.605,34.285,28.5625,25.81,0.9125
501,3.645,34.205,28.43,25.975,0.8975
502,3.6825,34.0125,28.4375,26.145,0.9075
503,3.69,33.91,28.2875,26.1625,0.92
504,3.7125,33.9575,28.1725,26.3925,0.94
505,3.745,33.7675,27.915,26.585,0.92
506,3.7975,33.85,27.91,26.7075,0.9425
507,3.8,33.6325,27.68,26.9975,0.9025
508,3.7825,33.515,27.5875,27.1125,0.925
509,3.76,33.495,27.4725,27.2725,0.88
510,3.805,33.3725,27.2875,27.4475,0.865
511,3.825,33.3475,27.31,27.66,0.87
512,3.7725,33.2325,27.1375,27.8175,0.8675
513,3.79,33.105,27.14,28.1325,0.86
514,3.83,33.1125,27.0825,28.165,0.8325
515,3.81,33.0875,27.1525,28.23,0.835
516,3.8925,32.7925,27.0975,28.49,0.8125
517,3.915,32.575,27.075,28.545,0.77
518,3.96,32.4375,27.0325,28.8025,0.7125
519,3.985,32.42,27.085,28.9375,0.71
520,4,32.2225,27.0475,28.9675,0.6725
521,3.99,32.1775,27.115,29.1975,0.6425
522,4.09,31.9925,27.0925,29.4025,0.595
523,4.0725,31.7575,27.0525,29.64,0.5775
524,4.095,31.5625,27.135,29.7325,0.5725
525,4.085,31.37,27.1925,29.8175,0.5375
526,4.1375,31.36,27.175,29.995,0.51
527,4.09,31.22,27.13,30.0775,0.4925
528,4.1175,31.0975,27.21,30.18,0.485
529,4.13,30.8675,27.2575,30.425,0.485
530,4.125,30.7175,27.285,30.4725,0.465
531,4.1525,30.575,27.2625,30.525,0.4675
532,4.1225,30.4925,27.365,30.72,0.4525
533,4.115,30.3075,27.335,30.8075,0.45
534,4.115,30.1875,27.4225,30.88,0.455
535,4.16,29.9975,27.505,30.8725,0.455
536,4.1625,29.8575,27.6175,30.8425,0.4275
537,4.145,29.7225,27.64,31.0325,0.395
538,4.15,29.6425,27.6175,31.1775,0.3875
539,4.1425,29.5325,27.725,31.195,0.3725
540,4.165,29.415,27.9025,31.31,0.3525
541,4.17,29.2425,27.9575,31.3025,0.3575
542,4.1725,29.25,27.94,31.2725,0.3275
543,4.125,29.1425,28.055,31.2175,0.325
544,4.11,28.9825,28.2775,31.29,0.3275
545,4.115,28.8725,28.4525,31.37,0.3125
546,4.125,28.67,28.41,31.39,0.29
547,4.08,28.7275,28.5925,31.505,0.3
548,4.0775,28.66,28.7375,31.46,0.28
549,4.0825,28.6025,28.7925,31.435,0.2825
550,4.0875,28.5375,28.8425,31.5675,0.28
551,4.0475,28.3775,28.84,31.575,0.2825
552,4.045,28.255,28.99,31.415,0.27
553,3.9925,28.2175,29.1275,31.48,0.2525
554,4.0525,28.11,29.225,31.5025,0.25
555,4.0375,27.9275,29.33,31.55,0.2525
556,4.03,27.815,29.425,31.4425,0.2325
557,4.0325,27.725,29.5175,31.36,0.235
558,4.0275,27.805,29.7375,31.465,0.2325
559,4.0175,27.755,29.78,31.39,0.2425
560,4.0525,27.54,29.8925,31.385,0.24
561,4.06,27.4825,30.1575,31.2525,0.225
562,4.0775,27.365,30.2975,31.165,0.23
563,4.0675,27.2175,30.395,31.185,0.23
564,4.0125,27.2075,30.525,31.1725,0.2225
565,4.035,27.1,30.6625,31.2,0.2125
566,4.0475,26.97,30.8625,30.9675,0.2275
