alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.4,0.75,1,50000,0,0.246409,0,0.248905,0,0.255045,0,0.249641,800,false
0.4,0.75,1,50000,0,0.261191,0,0.248602,0,0.242792,0,0.247416,800,false
0.4,0.75,1,100000,0,0.257378,0,0.252667,0,0.244083,0,0.245872,800,false
0.4,0.75,1,100000,0,0.248267,0,0.243377,0,0.255409,0,0.252947,800,false
0.05,0.75,1,500000,0.156756,0.178537,0.146955,0.0854453,0.172288,0,0.137575,0.122444,800,false
0.1,0.75,1,1000,0.117534,0.190022,0.132378,0.105955,0.155323,0.047575,0.108484,0.142728,800,false
0.1,0.75,1,10000,0.134511,0.164205,0.159463,0.0869656,0.197189,0,0.142619,0.115048,800,false
0.05,0.75,1,500000,0.151061,0.185778,0.156156,0.0963766,0.167989,0,0.137753,0.104886,800,false
0.1,0.75,1,1000,0.121036,0.187488,0.137934,0.106222,0.150753,0.0443781,0.115653,0.136536,800,false
0.1,0.75,1,10000,0.147709,0.182373,0.156897,0.0867641,0.167359,0,0.149956,0.108941,800,false
0.1,0.75,1,50000,0.151339,0.179719,0.14452,0.0981203,0.178955,0,0.133622,0.113725,800,false
0.1,0.75,1,50000,0.146734,0.188002,0.13963,0.0841359,0.192256,0,0.127345,0.121897,800,false
0.4,0.75,1,250000,0,0.241925,0,0.251361,0,0.255589,0,0.251125,800,false
0.1,0.75,1,100000,0.1548,0.184808,0.153853,0.0855625,0.169462,0,0.129019,0.122495,800,false
0.4,0.75,1,250000,0,0.247884,0,0.254764,0,0.247539,0,0.249812,800,false
0.1,0.75,1,100000,0.141017,0.180786,0.149088,0.0905406,0.183683,0,0.143855,0.111031,800,false
0.1,0.75,1,250000,0.14762,0.175533,0.155608,0.0879656,0.195442,0,0.136366,0.101466,800,false
0.1,0.75,1,250000,0.144333,0.183219,0.148866,0.0862609,0.183419,0,0.147573,0.10633,800,false
0.4,0.75,1,500000,0,0.23595,0,0.248523,0,0.261058,0,0.254469,800,false
0.45,0.75,1,1000,0.00900469,0.249659,0.0079875,0.236456,0.0142969,0.238275,0.0166547,0.227666,800,false
0.45,0.75,1,10000,0,0.248262,0,0.253758,0,0.251545,0,0.246434,800,false
0.4,0.75,1,500000,0,0.252134,0,0.25315,0,0.249041,0,0.245675,800,false
0.45,0.75,1,1000,0.00329844,0.263877,0.00719219,0.23177,0.0173656,0.224534,0.0192094,0.232753,800,false
0.45,0.75,1,10000,0,0.243417,0,0.253331,0,0.256152,0,0.2471,800,false
0.45,0.75,1,50000,0,0.252434,0,0.246791,0,0.251569,0,0.249206,800,false
0.45,0.75,1,50000,0,0.252934,0,0.243062,0,0.248803,0,0.2552,800,false
0.45,0.75,1,100000,0,0.249798,0,0.255825,0,0.249966,0,0.244411,800,false
0.45,0.75,1,100000,0,0.252161,0,0.245894,0,0.251516,0,0.25043,800,false
0.1,0.75,1,500000,0.156198,0.177259,0.146059,0.0904719,0.171455,0,0.146341,0.112216,800,false
0.15,0.75,1,1000,0.11707,0.184653,0.131788,0.105481,0.161264,0.0293891,0.125034,0.14532,800,false
0.15,0.75,1,10000,0.138467,0.178542,0.141072,0.095525,0.181642,0,0.145239,0.119512,800,false
0.1,0.75,1,500000,0.15233,0.192095,0.146937,0.0866703,0.163275,0,0.146602,0.112091,800,false
0.15,0.75,1,1000,0.122095,0.187627,0.130933,0.10375,0.151473,0.0344547,0.12455,0.145117,800,false
