alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.1,0.75,1,7000,0.144566,0.184275,0.152083,0.0819359,0.18308,0.000790625,0.13242,0.12085,800,0
0.1,0.75,1,10000,0.150672,0.177986,0.148284,0.0824234,0.183061,0,0.142252,0.115322,800,0
0.1,0.75,1,25000,0.144063,0.178939,0.140369,0.0884422,0.193341,0,0.136336,0.118511,800,0
0.1,0.75,1,50000,0.15017,0.180967,0.150511,0.0843828,0.168922,0,0.14243,0.122617,800,0
0.05,0.75,1,1000,0.0896609,0.194769,0.109555,0.146469,0.0966047,0.101264,0.0927328,0.168945,800,0
0.05,0.75,1,2000,0.119587,0.181792,0.124219,0.127309,0.137348,0.0520281,0.105252,0.152464,800,0
0.05,0.75,1,3000,0.120936,0.184298,0.130839,0.113534,0.152105,0.0414328,0.125136,0.131719,800,0
0.05,0.75,1,5000,0.140709,0.184453,0.144523,0.0975562,0.163298,0.0201359,0.123486,0.125837,800,0
0.05,0.75,1,7000,0.134392,0.177066,0.147144,0.0934734,0.167066,0.0224141,0.125052,0.133394,800,0
0.05,0.75,1,10000,0.148753,0.173606,0.150991,0.0994219,0.168827,0.00835469,0.130097,0.11995,800,0
0.05,0.75,1,25000,0.153641,0.183953,0.144425,0.10395,0.148392,0.00231562,0.132941,0.130383,800,0
0.05,0.75,1,50000,0.151159,0.182189,0.153262,0.0878828,0.152167,0,0.134728,0.138611,800,0
0.15,0.75,1,1000,0.116928,0.193263,0.134739,0.111311,0.164953,0.0299703,0.114684,0.134152,800,0
0.15,0.75,1,2000,0.137716,0.176555,0.146098,0.103033,0.161655,0.00854062,0.133477,0.132927,800,0
0.15,0.75,1,3000,0.144411,0.175503,0.144184,0.0904563,0.18238,0.00321406,0.141356,0.118495,800,0
0.15,0.75,1,5000,0.143705,0.170692,0.142747,0.0923937,0.193405,0.00102812,0.143394,0.112636,800,0
